time,topic_count,topic_len
2340,100,2
1244,100,2
1224,100,2
1097,100,2
1252,100,2
1137,100,2
1209,100,2
1179,100,2
1316,100,2
1151,100,2
1178,100,2
1107,100,2
1139,100,2
1111,100,2
1091,100,2
1114,100,2
1101,100,2
1083,100,2
1163,100,2
1182,100,2
1791,100,4
1496,100,4
1497,100,4
1582,100,4
1665,100,4
1412,100,4
1489,100,4
1391,100,4
1464,100,4
1332,100,4
1391,100,4
1310,100,4
1417,100,4
1313,100,4
1480,100,4
1390,100,4
1404,100,4
1469,100,4
1303,100,4
1409,100,4
1643,100,8
1482,100,8
1530,100,8
1506,100,8
1277,100,8
1269,100,8
1426,100,8
1406,100,8
1465,100,8
1382,100,8
1538,100,8
1535,100,8
1309,100,8
1407,100,8
1510,100,8
1618,100,8
1624,100,8
1460,100,8
1388,100,8
1387,100,8
2137,100,16
1718,100,16
1656,100,16
1637,100,16
1705,100,16
1790,100,16
1591,100,16
1647,100,16
1832,100,16
1749,100,16
1762,100,16
1696,100,16
1589,100,16
1723,100,16
1707,100,16
1629,100,16
1611,100,16
1768,100,16
1790,100,16
1695,100,16
2801,100,32
2251,100,32
2161,100,32
2003,100,32
2107,100,32
2354,100,32
2017,100,32
2171,100,32
2329,100,32
2662,100,32
2312,100,32
2160,100,32
2175,100,32
2243,100,32
2255,100,32
2027,100,32
2161,100,32
2198,100,32
2152,100,32
2065,100,32
3218,100,64
2878,100,64
2822,100,64
3127,100,64
2706,100,64
2909,100,64
2692,100,64
2675,100,64
2833,100,64
3010,100,64
2840,100,64
2607,100,64
2872,100,64
2874,100,64
2789,100,64
2846,100,64
2548,100,64
2858,100,64
2962,100,64
2842,100,64
4715,100,128
4158,100,128
4120,100,128
4249,100,128
4054,100,128
4353,100,128
4451,100,128
4148,100,128
4103,100,128
4155,100,128
4061,100,128
4217,100,128
4442,100,128
4356,100,128
4491,100,128
4297,100,128
4299,100,128
4383,100,128
4310,100,128
4446,100,128
8343,100,256
7399,100,256
7323,100,256
7234,100,256
7215,100,256
7380,100,256
7271,100,256
7762,100,256
7405,100,256
7350,100,256
7434,100,256
7729,100,256
7533,100,256
7283,100,256
7459,100,256
7436,100,256
7248,100,256
7290,100,256
7423,100,256
7385,100,256
14747,100,512
14238,100,512
13248,100,512
13721,100,512
13849,100,512
13717,100,512
13691,100,512
14849,100,512
13797,100,512
13402,100,512
13393,100,512
12940,100,512
13000,100,512
13221,100,512
13298,100,512
13594,100,512
13154,100,512
12866,100,512
13303,100,512
13394,100,512
31032,100,1024
29700,100,1024
29843,100,1024
29300,100,1024
27095,100,1024
31626,100,1024
29559,100,1024
30208,100,1024
29873,100,1024
29298,100,1024
29371,100,1024
29365,100,1024
29970,100,1024
29694,100,1024
30685,100,1024
30486,100,1024
28688,100,1024
29572,100,1024
29264,100,1024
29529,100,1024
57365,100,2048
57116,100,2048
51853,100,2048
52073,100,2048
52212,100,2048
52863,100,2048
54634,100,2048
54148,100,2048
53647,100,2048
52796,100,2048
53424,100,2048
53912,100,2048
52102,100,2048
53818,100,2048
59188,100,2048
54846,100,2048
55507,100,2048
55500,100,2048
54887,100,2048
53065,100,2048
